Report Type: Subnet details
Title: Lab1 all subnets
Description: 
Requested By: System
Time Requested: Jan 19 2024 22:30:00
Time Completed: Jan 19 2024 22:30:01
Subnet Group Name,Name,Subnet Type,Subnet Description,Service Type,Entity Name,Entity Code,Circuit ID,Service PID,Last modified user,Last Modified Time,Order Number,Product Type,
RED-NA-IPV4-ARIN-CUSTOMER-LAB1,67.25.248.0/21,Public,NA.PUB.MASTER.DELEGATION.IPV4,Interface,,, , ,incognitows,Jan 19 2024 20:25:54, , ,
RED-NA-IPV4-ARIN-CUSTOMER-LAB1,67.25.248.0/29,Public,,Interface,Google Inc. - Wavelengths,LTTNCOML-6887, , ,AA61870,Aug  8 2023 11:39:43, , ,
RED-NA-IPV4-ARIN-CUSTOMER-LAB1,67.25.248.8/29,Public,,Interface,UIS TECHNOLOGY PARTNERS,ATLDGAUY-3-764902,GA/IRXX/042646/LUMN,7748636108,incognitows,Jan 17 2024 05:39:10,880006011,RED-DIA,
RED-NA-IPV4-ARIN-CUSTOMER-LAB1,67.25.248.16/30,Public,,Interface,Costco Wholesale Corporation,LTTNCOMLS0Q-3-A67847,CO/IRXX/045793/LUMN,7748421851,incognitows,Jan 16 2024 14:27:04,880013865,RED-DIA,
RED-NA-IPV4-ARIN-CUSTOMER-LAB1,67.25.248.20/30,Public,,Interface,Costco Wholesale Corporation,LTTNCOMLS0Q-3-A67847,CO/IRXX/045794/LUMN,7748421878,incognitows,Jan 16 2024 15:30:48,880013870,RED-DIA,
RED-NA-IPV4-ARIN-CUSTOMER-LAB1,67.25.248.24/30,Public,,Interface,COSTCO WHOLESALE CORPORATI (0205332112),BNNTCOAPS01-3-A67847,CO/IRXX/045801/LUMN,7748421864,incognitows,Jan 17 2024 05:35:47,880013868,RED-DIA,
RED-NA-IPV4-ARIN-CUSTOMER-LAB1,67.25.248.28/30,Public,,Interface,COSTCO WHOLESALE CORPORATI (0205332112),BNNTCOAPS01-3-A67847,CO/IRXX/045792/LUMN,7748421837,incognitows,Jan 16 2024 14:07:31,880013862,RED-DIA,
RED-NA-IPV4-ARIN-CUSTOMER-LAB1,67.25.248.32/30,Public,,Interface,COSTCO WHOLESALE CORPORATI (0205332112),LTTNCOMLS0Q-880013870,CO/IRXX/045794/LUMN,7748421878,incognitows,Jan 16 2024 15:35:20,b64977011bff35503eeccbb8624bcba4,RED-DIA,
RED-NA-IPV4-ARIN-CUSTOMER-LAB1,67.25.248.36/30,Public,,Interface,COSTCO WHOLESALE CORPORATI (0205332112),BNNTCOAPS01-3-A67847,CO/IRXX/045750/LUMN,7748421469,incognitows,Jan 15 2024 11:48:42,880013753,RED-DIA,
RED-NA-IPV4-ARIN-CUSTOMER-LAB1,67.25.248.40/29,Public,,Interface,UIS TECHNOLOGY PARTNERS,ATLNGAMQ-3-764902,GA/IRXX/042668/LUMN,7748636190,incognitows,Jan 17 2024 09:13:38,880006040,RED-DIA,
RED-NA-IPV4-ARIN-CUSTOMER-LAB1,67.25.248.48/30,Public,,Interface,,, , ,sbalthaz,Aug 15 2023 16:54:23, , ,
RED-NA-IPV4-ARIN-CUSTOMER-LAB1,67.25.248.52/30,Public,,Interface,COSTCO WHOLESALE CORPORATI (0205332112),BNNTCOAPS01-3-A67847,CO/IRXX/045752/LUMN,7748421523,incognitows,Jan 15 2024 13:17:13,880013763,RED-DIA,
RED-NA-IPV4-ARIN-CUSTOMER-LAB1,67.25.248.56/29,Public,,Interface,GOOGLE LLC,STTLWAWB-6887,WA/IRXX/045760/LUMN,7748421645,incognitows,Jan 16 2024 05:37:33,880013813,RED-DIA,
